text,label
약간의 스모키함과 약간의 짭짤한 맛이 있는데 복합적이면서 밸런스가 좋음 매우 굳,0
데일리로 최고! 부드럽고 달달하고 하이볼로 해도 맛있음 한 병은 계속 집에 두고 싶은 위스키,0
결국 참지 못하고 한 병 더 사버림,0
"합리적인 가격에 집 근처에서 픽업 할 수 있어서 좋아요.
박스 유무 표기가 없어서 받고 좀 당황했는데
원래 없는 제품이라고 하시네요
맛은 하이볼에 딱 적당한 제품입니다.
니트로 마시기에는 너무 알콜 부즈가 심해서 추천하지 않아요.",1
코스트코 가격하고 비슷하게 집 근처 가게에서 구입할 수 있어좋아요,0
"저렴한 가격에 큰 기대는 안했지만 생각보다 부드럽고 데일리로 마시기에 딱 좋은 위스키! 바닐라 향으로 시작해서 약간의 스파이스함, 그리고 깔끔한 피니쉬가 훌륭했음",0
"일단 컨텐츠가 훌륭해 먹는 맛과 스토리 보는 맛까지 함께 즐길 수 있었음. 그린북 영화보며 한 잔 두 잔 하니 주인공에 감정이입 더 잘되는 건 덤! 어떻게 보면 밍밍하지만, 반대로 생각하면 깔끔한 맛과 풍부한 과일향과 시트러스함이 일품.",0
"부나하벤... 이라는 싱글몰트를 왜 이제야 알았는지... 아일라 위스키스럽지 않은 논피트함에, 바닐라와 견과류의 개성있는 향, 2주 정도 에어링한 후 마시니 느껴지는 진득한 풍미와 부드러운 피니쉬... 제가 좋아하는 모든 것이 담겨 있는 위스키였습니다.",0
"아일랜드 거주할 당시 소주처럼 마시던 제임슨, 한국에서 보니 더 반가운 마음에 구매. 트리플 디스틸드 답게 느껴지는 부드러운 풍미와 진저에일, 라임과 함께 즐기는 진저에일 하이볼은 하루를 마무리하기에 완벽한 한잔.",0
"은근히 멋진 디자인, 호불호 갈리지 않는 맛. ",0
이가격에... 라고 생각했는데 가격대비 매우 만족했음. 향과 맛이 약간 옅은 감이 있지만 알콜 부즈 없이 달달하게 잘 넘어감,0
"가볍게 샷으로 한 잔씩 먹기 딱 좋은 맛!
패키징 된 통도 이뻐서 집에 전시 중입니다 ㅎㅎ",0
"좋은가격에 검증된 주류 구매하였습니다.

그런데 제품의 상태가 먼지가 끈적하게? 붙어있고, 얇은 종이백에 2병씩 들어있어
 들고 이동할때 불안했습니다.

좋은 가격이고, 편한 구매방식입니다.
제품을 첫 접할때의 감성적 느낌 보완했으면 더욱 좋을듯합니다.

번창하세요~!
",0
"좋은가격에 검증된 주류 구매하였습니다.
번창하세요~!
",0
좋아요 싸게 샀어요,0
에어링 된 부나하벤이 너무 좋아 한병 추매... 역시 이주 정도 뒤에 마시니 훌륭한 개성과 함께 좋아하는 바닐라와 견과류 향이 듬뿍. 너무 좋다. ,0
맥주 좋아하는 지인분께 선물용으로 구매. 패키지 이쁘고 페어링 된 안주까지 있으니 너무 좋아하셔서 덩달아 나까지 기분 굳. 바네하임은 요런 패키지와 페어링 추천을 너무 잘한다👍🏻,0
"저렴한 가격에 잘 마시고 있습니다. 보드카 쪽은 입문 중인데, 플레인 보드카 중에서는 에탄올 냄새가 안나는 축에 속하는 것 같습니다",0
정확했고 친절했습니다,1
"병이 이뻐서 맛에 한몫하는 느낌으로 시작_x000D_
향기와 머금음 그리고 목넘김까지 무겁지 않고_x000D_
체리향도 살짝 느껴지는 프루티함이 계속_x000D_
이 버번을 즐기게한다._x000D_
_x000D_
벤치마크나 버팔로트레이스를 좋아한다면_x000D_
이 버번도 즐겨보길 권장",0
일단 맛은 칭따오이니 따로 설명 필요없을 듯 합니다. 잔이 소장용으로 너무 좋은 크기와 디자인입니다.,0
"처음 코르크를 빼고 맡은 향을 아직도 잊을수가 없어요
싱글몰트중에서는 발베니만 고집해왔는데
그걸 아벨라워가 바꿔줬어요",0
가성비가 훌륭한걸로 유명한 술이죠,0
"초심자에겐 어려울 수 있어요
둔탁한듯 다양한 매력을 가지고 있는,
처음엔 이게 뭐지 싶다가도
마실수록 끌리는 마력이 있어요",0
"가볍고 플로럴한 글렌피딕 12년,
꿀의 달달한 맛과 과일 향이 조화롭습니다",0
"달콤한 바닐라와 건과일의 풍부한 맛
부드럽지만 스파이시한 맛이 오래 지속됩니다 
다시 구할 수 있었으면 좋겠네요.. ",0
"가벼운 꿀향과 약한 오크향으로
위스키 입문자도 마시기 좋습니다
데일리 위스키나 하이볼로 강추",0
좋은가격에 잘 샀습니다,0
저렴한 가격에 잘샀네요!! ,0
가성비 데일리로 좋아요 살짝 모자른 피딕12 같은느낌.. 머 피딕12도 데일리지만 이건 그거 반값도 안되니..,0
가성비로는 최고의 블랜디드 위스키가 아닐까싶습니다.,0
데킬라 저렴하게 엎어왔네요. 마트보다 저렴한 것 같아요👍,0
"향이 은은하니 너무 좋아요
잭콕 만들어 먹으면 맛있어요",1
편리하게 잘 구매했습니다 감사합니다 ,0
자주 마시던 술이라 ㅋ 지금 당장 마실일은 없지만  버번 3대장이란 명칭이 딱 어울리는 ,0
칵테일용.. 가격이 착해서 구매,0
예쁜 잔과 병이 목적이라면 구매하기 딱 좋음.,0
45도지만 40도같은 부드러운 맛의 버번,0
맛있어요!,0
"맛,비주얼은 아직
다만 편하게 수령하였습니다.
시스템 칭찬합니다.",0
최고의 가성비! 좀 더 사놓을 걸 후회되네요.,0
"좋은 가격에 샀네요.
버팔로와 비교해봐야겠네요~~",0
"맛남..버번3대장 개맛남 다먹음
",0
맛있어요 적당한 산미와 탄산감이 있어서 시원하게 마시니까 좋았고 병도 예뻐서 와인 마시는 느낌도 났어요,0
비슷한 가격의 버번 위스키와 비교 시 부드럽고 향이 좋습니다. 다만 도수에 비해 밍밍한 느낌이 드는 점은 아쉽습니다.,0
가격 좋을때 들였습키다 좋으네요!!,0
"가격은 이전에 구할때보다 조금 비쌌지만 소머리에 혹했습니다
글렌그란트 위스키 입문 하시는 분들에게 정말 좋은 술이예요",0
